intervention_name_norm,intervention_name,intervention_category,num_trials,avg_enrollment,completed_trials,recruiting_trials,trials_with_results
placebo,Placebo,DRUG,18,185.55555555555554,16,2,5
placebo,Placebo,OTHER,5,155.0,5,0,2
rirs,RIRS,PROCEDURE,5,150.4,5,0,0
alln-177,ALLN-177,DRUG,4,53.0,4,0,1
placebo,Placebo,DIETARY_SUPPLEMENT,4,81.0,3,1,1
tamsulosin,Tamsulosin,DRUG,4,111.0,4,0,1
minipercutaneousnephrolithotomy,Mini Percutaneous Nephrolithotomy,PROCEDURE,4,537.0,4,0,0
retrogradeintrarenalsurgery,Retrograde intrarenal surgery,PROCEDURE,4,116.25,3,1,0
ureteroscopy,Ureteroscopy,PROCEDURE,4,59.0,4,0,0
ketorolac,Ketorolac,DRUG,3,74.33333333333333,3,0,3
thuliumfibrelaser,Thulium Fibre Laser,DEVICE,3,121.33333333333333,2,1,2
augmentedreality,Augmented reality,DEVICE,3,11.0,1,2,0
extracorporealshockwavelithotripsy,Extracorporeal shock wave lithotripsy,PROCEDURE,3,77.33333333333333,3,0,0
flexibleureteroscopy,Flexible Ureteroscopy,PROCEDURE,3,94.0,2,1,0
morphine,Morphine,DRUG,3,569.6666666666666,3,0,0
pcnl,PCNL,PROCEDURE,3,101.0,3,0,0
retrogradeintrarenalsurgery,Retrograde Intrarenal Surgery,PROCEDURE,3,186.66666666666666,3,0,0
swl,SWL,PROCEDURE,3,174.33333333333334,3,0,0
cyberwand,Cyberwand,DEVICE,2,170.0,2,0,2
holmiumyttrium-aluminum-garnet,Holmium:Yttrium-Aluminum-Garnet,DEVICE,2,95.0,2,0,2
placebo,placebo,DRUG,2,146.0,2,0,2
pregabalin300mg,Pregabalin 300mg,DRUG,2,64.0,2,0,2
robotic-assistedmini-pcnl,Robotic-assisted mini-PCNL,DEVICE,2,15.0,2,0,2
placebooraltablet,Placebo oral tablet,DRUG,2,68.5,2,0,1
ropivacaine,Ropivacaine,DRUG,2,32.5,2,0,1
tamsulosin,tamsulosin,DRUG,2,296.5,2,0,1
tolvaptan,Tolvaptan,DRUG,2,12.0,2,0,1
toradol,Toradol,DRUG,2,69.5,2,0,1
ciprofloxacin,Ciprofloxacin,DRUG,2,906.0,2,0,0
conventionalfans,Conventional FANS,DEVICE,2,250.0,1,1,0
diclofenac,Diclofenac,DRUG,2,852.5,2,0,0
lowoxalatediet,Low Oxalate Diet,DIETARY_SUPPLEMENT,2,112.0,0,2,0
mini-pcnl,mini-PCNL,PROCEDURE,2,397.5,2,0,0
mini-pnl,mini-PNL,PROCEDURE,2,163.5,2,0,0
percutaneousnephrolithotomy,percutaneous nephrolithotomy,PROCEDURE,2,203.0,1,1,0
renalof,Renalof,DIETARY_SUPPLEMENT,2,132.5,2,0,0
rirswithoutureteralaccesssheath,RIRS without ureteral access sheath,DEVICE,2,70.0,2,0,0
rirswithureteralaccesssheath,RIRS with ureteral access sheath,DEVICE,2,70.0,2,0,0
sipit,sipIT,BEHAVIORAL,2,194.0,2,0,0
surveys,Surveys,OTHER,2,488.0,0,2,0
ultrasound,Ultrasound,DEVICE,2,105.0,2,0,0
10mgketorolacq6prn,"10mg Ketorolac, Q6 PRN",DRUG,1,90.0,1,0,1
125mghydrochlorothiazide,12.5 mg hydrochlorothiazide,DRUG,1,416.0,1,0,1
250mghydrochlorothiazide,25.0 mg hydrochlorothiazide,DRUG,1,416.0,1,0,1
500mghydrochlorothiazide,50.0 mg hydrochlorothiazide,DRUG,1,416.0,1,0,1
5mgoxycodoneq6prn,"5mg Oxycodone, Q6 PRN",DRUG,1,90.0,1,0,1
acetaminophen,Acetaminophen,DRUG,1,119.0,1,0,1
agri-kingsynbioticaksb,Agri-King Synbiotic (AKSB),DIETARY_SUPPLEMENT,1,40.0,1,0,1
allopurinol,Allopurinol,DRUG,1,99.0,1,0,1
ampicillin,ampicillin,DRUG,1,86.0,1,0,1
ampicillingentamicin,Ampicillin/Gentamicin,DRUG,1,98.0,1,0,1
belladonnaandopium,Belladonna and Opium,DRUG,1,71.0,1,0,1
bostonscientificnavigator,Boston Scientific Navigator,DEVICE,1,95.0,1,0,1
cannabidiol,Cannabidiol,DRUG,1,90.0,1,0,1
ceftriaxone,ceftriaxone,DRUG,1,86.0,1,0,1
cephalosporins,cephalosporins,DRUG,1,98.0,1,0,1
citricacid,Citric Acid,DIETARY_SUPPLEMENT,1,13.0,1,0,1
clindamycin,Clindamycin,DRUG,1,98.0,1,0,1
colabeverage,Cola beverage,DRUG,1,13.0,1,0,1
conebeamct,Cone beam CT,DIAGNOSTIC_TEST,1,234.0,1,0,1
cookflexor,Cook Flexor,DEVICE,1,95.0,1,0,1
cystone,Cystone,DRUG,1,20.0,1,0,1
deionizedwater,Deionized water,DRUG,1,13.0,1,0,1
disposabledigitalureteroscope,disposable digital ureteroscope,DEVICE,1,180.0,1,0,1
erectorspinaeplaneblockespb,Erector Spinae Plane Block (ESPB),PROCEDURE,1,5.0,1,0,1
ergocalciferol,Ergocalciferol,DRUG,1,30.0,1,0,1
febuxostat,Febuxostat,DRUG,1,99.0,1,0,1
fexofenadinehcl180mgtab,Fexofenadine Hcl 180Mg Tab,DRUG,1,78.0,1,0,1
financialincentive,Financial incentive,BEHAVIORAL,1,1658.0,1,0,1
flowmax,Flowmax,DRUG,1,53.0,1,0,1
