nct_number,study_title,study_status,phase,enrollment,condition,intervention_type,intervention_name,study_results_flag,primary_outcome_measures,secondary_outcome_measures,intervention_category,intervention_name_norm
NCT04505956,A Comparison of Ureteroscopic Treatment of Nephrolithiasis With and Without Moses Technology,COMPLETED,,171,Nephrolithiasis,DEVICE,Holmium laser lithotripsy with Moses Technology,1,"Operative Time, Total operative times between Moses holmium laser lithotripsy and non-Moses holmium laser lithotripsy in the ureteroscopic treatment of renal stones using a dusting technique, Beginning to end of procedure time, assessed up to 2 hours","Stone Retropulsion, Stone movement during laser lithotripsy will be recorded on video and graded on a Likert scale by blinded reviewers. Video could not be taken for all trial patients. Videos were obtained and stored when feasible., First 20 seconds of laser lithotripsy",DEVICE,holmiumlaserlithotripsywithmosestechnology
NCT04505956,A Comparison of Ureteroscopic Treatment of Nephrolithiasis With and Without Moses Technology,COMPLETED,,171,Nephrolithiasis,DEVICE,Holmium laser lithotripsy without Moses Technology,1,"Operative Time, Total operative times between Moses holmium laser lithotripsy and non-Moses holmium laser lithotripsy in the ureteroscopic treatment of renal stones using a dusting technique, Beginning to end of procedure time, assessed up to 2 hours","Stone Retropulsion, Stone movement during laser lithotripsy will be recorded on video and graded on a Likert scale by blinded reviewers. Video could not be taken for all trial patients. Videos were obtained and stored when feasible., First 20 seconds of laser lithotripsy",DEVICE,holmiumlaserlithotripsywithoutmosestechnology
NCT07058402,RIRS With Flex Suction Sheath vs. PCNL for 2-3 cm Renal Stones,RECRUITING,,308,Nephrolithiasis,PROCEDURE,Retrograde Intrarenal Surgery (RIRS) with Tip-Flexible Suction Access Sheath,0,"Stone-Free Rate (SFR), The proportion of participants who are stone-free after the procedure, defined as no residual stones or residual fragments \<2 mm based on postoperative plain abdominal X-ray or non-contrast CT scan., 3 months postoperatively","Incidence of Postoperative Infection (SIRS Criteria), Number and proportion of participants who develop postoperative systemic inflammatory response syndrome (SIRS), defined as meeting at least 2 of the following:

Temperature \>38°C or \<36°C

Heart rate \>90 bpm

Respiratory rate \>20/min or PaCO2 \<32 mmHg

WBC count \>12×10⁹/L or \<4×10⁹/L, Within 72 hours postoperatively",PROCEDURE,retrogradeintrarenalsurgeryrirswithtip-flexiblesuctionaccesssheath
NCT07058402,RIRS With Flex Suction Sheath vs. PCNL for 2-3 cm Renal Stones,RECRUITING,,308,Nephrolithiasis,PROCEDURE,Standard Percutaneous Nephrolithotomy (PCNL),0,"Stone-Free Rate (SFR), The proportion of participants who are stone-free after the procedure, defined as no residual stones or residual fragments \<2 mm based on postoperative plain abdominal X-ray or non-contrast CT scan., 3 months postoperatively","Incidence of Postoperative Infection (SIRS Criteria), Number and proportion of participants who develop postoperative systemic inflammatory response syndrome (SIRS), defined as meeting at least 2 of the following:

Temperature \>38°C or \<36°C

Heart rate \>90 bpm

Respiratory rate \>20/min or PaCO2 \<32 mmHg

WBC count \>12×10⁹/L or \<4×10⁹/L, Within 72 hours postoperatively",PROCEDURE,standardpercutaneousnephrolithotomypcnl
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,COMPLETED,PHASE3,416,Nephrolithiasis,DRUG,Placebo oral capsule,1,"Number of Participants With Stone Recurrences, Composite of symptomatic or radiological recurrences, defined as either a symptomatic kidney stone passage or radiological kidney stone recurrence on CT.

Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred. Radiological recurrence was defined as a new stone formed or enlargement of a preexisting stone., After 3 years","Number of Symptomatic Stone Recurrences, Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred., After 3 years|Number of Radiologic Stone Recurrences., Radiological stone recurrence was defined as a new stone formed or enlargement of a preexisting stone (assessed by low-dose CT of the kidney at the end of the study compared to the low-dose CT of the kidney at the baseline visit)., After 3 years",DRUG,placebooralcapsule
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,COMPLETED,PHASE3,416,Nephrolithiasis,DRUG,12.5 mg hydrochlorothiazide,1,"Number of Participants With Stone Recurrences, Composite of symptomatic or radiological recurrences, defined as either a symptomatic kidney stone passage or radiological kidney stone recurrence on CT.

Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred. Radiological recurrence was defined as a new stone formed or enlargement of a preexisting stone., After 3 years","Number of Symptomatic Stone Recurrences, Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred., After 3 years|Number of Radiologic Stone Recurrences., Radiological stone recurrence was defined as a new stone formed or enlargement of a preexisting stone (assessed by low-dose CT of the kidney at the end of the study compared to the low-dose CT of the kidney at the baseline visit)., After 3 years",DRUG,125mghydrochlorothiazide
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,COMPLETED,PHASE3,416,Nephrolithiasis,DRUG,25.0 mg hydrochlorothiazide,1,"Number of Participants With Stone Recurrences, Composite of symptomatic or radiological recurrences, defined as either a symptomatic kidney stone passage or radiological kidney stone recurrence on CT.

Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred. Radiological recurrence was defined as a new stone formed or enlargement of a preexisting stone., After 3 years","Number of Symptomatic Stone Recurrences, Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred., After 3 years|Number of Radiologic Stone Recurrences., Radiological stone recurrence was defined as a new stone formed or enlargement of a preexisting stone (assessed by low-dose CT of the kidney at the end of the study compared to the low-dose CT of the kidney at the baseline visit)., After 3 years",DRUG,250mghydrochlorothiazide
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,COMPLETED,PHASE3,416,Nephrolithiasis,DRUG,50.0 mg hydrochlorothiazide,1,"Number of Participants With Stone Recurrences, Composite of symptomatic or radiological recurrences, defined as either a symptomatic kidney stone passage or radiological kidney stone recurrence on CT.

Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred. Radiological recurrence was defined as a new stone formed or enlargement of a preexisting stone., After 3 years","Number of Symptomatic Stone Recurrences, Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred., After 3 years|Number of Radiologic Stone Recurrences., Radiological stone recurrence was defined as a new stone formed or enlargement of a preexisting stone (assessed by low-dose CT of the kidney at the end of the study compared to the low-dose CT of the kidney at the baseline visit)., After 3 years",DRUG,500mghydrochlorothiazide
NCT03461536,Ultrasound First Clinical Decision Support for Suspected Nephrolithiasis,COMPLETED,,388,Nephrolithiasis,BEHAVIORAL,Ultrasound-first Clinical Decision Support tool,0,"CT use, Whether the patient received CT scan, During the index emergency department visit|Radiation Dose, Radiation dose in millisieverts, During the index emergency department visit","Return Visit, Return visits to ED with hospitalization, Within 1 week of the ED index visit|ED Length of Stay, ED Length of Stay, During the index emergency department visit|Cost, Total cost, During the index emergency department visit",BEHAVIORAL,ultrasound-firstclinicaldecisionsupporttool
NCT01217372,Nephrolithiasis Prevention by Lemon Juice,COMPLETED,PHASE2,203,Nephrolithiasis,DIETARY_SUPPLEMENT,Lemon supplementation,0,"Spontaneous passage of stone or gravel., At 6 month.|Appearance of new stones., At 6 month.|More than 30 percent increase in pre-existing stone size, At 6 month.|Spontaneous passage of stone or gravel., At 12 month.|Spontaneous passage of stone or gravel., At 24 month.|Appearance of new stones., At 12 month.|Appearance of new stones., At 24 month.|More than 30 percent increase in pre-existing stone size, At 12 month.|More than 30 percent increase in pre-existing stone size, At 24 month.",,DIETARY_SUPPLEMENT,lemonsupplementation
