NCT Number,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Phases,Enrollment
NCT04505956,A Comparison of Ureteroscopic Treatment of Nephrolithiasis With and Without Moses Technology,COMPLETED,"Flexible ureteroscopy is characterized as first-line therapy for the treatment of renal stones \< 2 cm in size. This involves passing a flexible endoscope into the renal pelvis through the urethra, bladder and ureter in a retrograde fashion. Holmium: YAG laser remains the preferred energy modality to subsequently break stones of this size into fragments small enough to remove or pass spontaneously through the ureter. Advances in the understanding of laser energy delivery have led to the recent commercialization of the ""Moses Effect"" - the creation of vapor bubbles/cavities between the laser fiber tip and the target through which laser energy can more efficiently travel. Lumenis was the first to optimize this laser phenomenon and market it as ""Moses Technology"" in their Lumenis Pulse P120H laser system. This system is already FDA approved through the 510K pathway and is commercially available. The purpose of this study is to evaluate the potential of Moses laser technology to reduce operative time compared to non-Moses settings for ureteroscopic treatment of nephrolithiasis.",YES,Nephrolithiasis,DEVICE: Holmium laser lithotripsy with Moses Technology|DEVICE: Holmium laser lithotripsy without Moses Technology,"Operative Time, Total operative times between Moses holmium laser lithotripsy and non-Moses holmium laser lithotripsy in the ureteroscopic treatment of renal stones using a dusting technique, Beginning to end of procedure time, assessed up to 2 hours","Stone Retropulsion, Stone movement during laser lithotripsy will be recorded on video and graded on a Likert scale by blinded reviewers. Video could not be taken for all trial patients. Videos were obtained and stored when feasible., First 20 seconds of laser lithotripsy",NA,171
NCT07058402,RIRS With Flex Suction Sheath vs. PCNL for 2-3 cm Renal Stones,RECRUITING,"This is a multicenter, randomized controlled trial comparing retrograde intrarenal surgery (RIRS) using a tip-flexible suction access sheath with standard percutaneous nephrolithotomy (PCNL) for the treatment of 2-3 cm unilateral renal stones. The aim is to evaluate the clinical efficacy and safety of the novel suction sheath-assisted RIRS compared to standard PCNL in terms of stone-free rate and postoperative complications. A total of 308 patients will be enrolled across four centers in China.",NO,Nephrolithiasis,PROCEDURE: Retrograde Intrarenal Surgery (RIRS) with Tip-Flexible Suction Access Sheath|PROCEDURE: Standard Percutaneous Nephrolithotomy (PCNL),"Stone-Free Rate (SFR), The proportion of participants who are stone-free after the procedure, defined as no residual stones or residual fragments \<2 mm based on postoperative plain abdominal X-ray or non-contrast CT scan., 3 months postoperatively","Incidence of Postoperative Infection (SIRS Criteria), Number and proportion of participants who develop postoperative systemic inflammatory response syndrome (SIRS), defined as meeting at least 2 of the following:

Temperature \>38°C or \<36°C

Heart rate \>90 bpm

Respiratory rate \>20/min or PaCO2 \<32 mmHg

WBC count \>12×10⁹/L or \<4×10⁹/L, Within 72 hours postoperatively",NA,308
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,COMPLETED,"The investigators plan to assess the efficacy of standard and low dose HCTZ treatment in the recurrence prevention of calcium-containing kidney stones. More specifically, the investigators aim to assess the dose-response relationship for three different dosages of HCTZ.

Study intervention: HCTZ 12.5 mg, 25 mg or 50 mg once daily per os for 24 or 36 months. In addition, all patients in HCTZ treatment arms will receive state-of-the-art non-pharmacologic recommendations for stone prevention according to current guidelines.

Control intervention: Placebo once daily per os for 24 to 36 months. In addition, all patients in the placebo arm will receive state-of-the-art non-pharmacologic recommendations for stone prevention according to current guidelines.",YES,Nephrolithiasis,DRUG: Placebo oral capsule|DRUG: 12.5 mg hydrochlorothiazide|DRUG: 25.0 mg hydrochlorothiazide|DRUG: 50.0 mg hydrochlorothiazide,"Number of Participants With Stone Recurrences, Composite of symptomatic or radiological recurrences, defined as either a symptomatic kidney stone passage or radiological kidney stone recurrence on CT.

Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred. Radiological recurrence was defined as a new stone formed or enlargement of a preexisting stone., After 3 years","Number of Symptomatic Stone Recurrences, Symptomatic recurrence was defined as the visible passage of a stone with or without accompanying typical symptoms (such as flank or loin pain and hematuria) or as the presence of a symptomatic or asymptomatic stone that was determined to require surgical removal. If a patient had symptoms during the trial that were suggestive of a possible stone passage but no visible stone had been observed, local investigators evaluated the symptoms of the patient and judged whether a stone passage had occurred., After 3 years|Number of Radiologic Stone Recurrences., Radiological stone recurrence was defined as a new stone formed or enlargement of a preexisting stone (assessed by low-dose CT of the kidney at the end of the study compared to the low-dose CT of the kidney at the baseline visit)., After 3 years",PHASE3,416
NCT03461536,Ultrasound First Clinical Decision Support for Suspected Nephrolithiasis,COMPLETED,This is a randomized trial to determine the effectiveness of a clinical decision support tool on image ordering for patients with suspected nephrolithiasis. Patients who present with acute unilateral flank or abdominal pain in whom emergency department providers suspect nephrolithiasis will receive either the clinical decision support tool or no tool (usual care).,NO,Nephrolithiasis,BEHAVIORAL: Ultrasound-first Clinical Decision Support tool,"CT use, Whether the patient received CT scan, During the index emergency department visit|Radiation Dose, Radiation dose in millisieverts, During the index emergency department visit","Return Visit, Return visits to ED with hospitalization, Within 1 week of the ED index visit|ED Length of Stay, ED Length of Stay, During the index emergency department visit|Cost, Total cost, During the index emergency department visit",NA,388
NCT01217372,Nephrolithiasis Prevention by Lemon Juice,COMPLETED,"Calcium oxalate nephrolithiasis is a relatively common disease. The prevalence in the general population may range from 10 to 12 percent, and 0.4 to 1 percent of new cases are reported every year according to different series. Without specific pharmacological therapy, the recurrence rate in patient with established diagnosis of nephrolithiasis is extremely high and may range from 15 to 20 percent per year, with a cumulative incidence at five years ranging from 27 to 50 percent.Although genetic factors play an important role in the development of nephrolithiasis, environmental factors such as diet also appear to affect stone formation. Potassium citrate is also effective in preventing stone recurrence in patients with calcium oxalate nephrolithiasis. Low tolerability, however, may remarkably limit the use of these medication. Citrus fruits are a natural rich source of citrate and diet supplementation with juice of citrus fruits may represent a valuable alternative option to supply citrate without exposing the patients to the adverse effects of citrate containing medications. Among the most commonly consumed citrus fruits, lemons contain the greatest concentrations of citric acid (49,2 g/Kg);a half cup of pure lemon juice can provide a daily amount of citrate comparable to that of a standard daily dose of alkali citrate medications.

A few studies tried to evaluate the effects of lemon juice supplementation in patients with calcium oxalate nephrolithiasis, but the findings were flawed by the retrospective, observational design of the study or by the too small sample size that limited the power of statistical analyses and the reliability of the results. This study will be primarily aimed at evaluating whether lemon juice added to standard diet recommendations compared to diet recommendations alone may reduce the risk of new stone formation in patients with recurrent idiopathic calcium oxalate nephrolithiasis. Secondarily, the study will evaluate the effects of lemon juice supplementation on complications of nephrolithiasis such as urinary tract infections, colic symptoms, and hospitalizations for stone disruption or removal, as well as the effects on urinary factors (such as urinary citrate, oxalate, calcium excretion or pH) that may favor or limit stone formations and the relationships between these effects and the risk of stone recurrence.",NO,Nephrolithiasis,DIETARY_SUPPLEMENT: Lemon supplementation,"Spontaneous passage of stone or gravel., At 6 month.|Appearance of new stones., At 6 month.|More than 30 percent increase in pre-existing stone size, At 6 month.|Spontaneous passage of stone or gravel., At 12 month.|Spontaneous passage of stone or gravel., At 24 month.|Appearance of new stones., At 12 month.|Appearance of new stones., At 24 month.|More than 30 percent increase in pre-existing stone size, At 12 month.|More than 30 percent increase in pre-existing stone size, At 24 month.",,PHASE2,203
NCT04597619,Evaluation of a Nonopioid Recovery Pathway Following Surgery for Kidney Stones,COMPLETED,"Evaluation of a nonopioid recovery pathway after percutaneous nephrolithotomy is a pragmatic pilot study that will apply the knowledge and experience gained with development of an outpatient opioid reduction protocol to percutaneous nephrolithotomy (PCNL). We have previously demonstrated that outpatient ureteroscopy and stent placement without postoperative opioid prescriptions is possible in the vast majority of patients. The success of this is dependent upon a multimodal approach to the patient's experience of undergoing endoscopic kidney stone surgery (ureteroscopy) and focuses on the preoperative, perioperative, and postoperative stages of intervention. Our hypothesis is that a novel nonopioid pathway after PCNL is both feasible and safe and will reduce postoperative prescriptions for opioids without impacting clinical outcomes, patient satisfaction or outpatient resources.",YES,Nephrolithiasis,OTHER: Novel Nonopioid Pathway,"Protocol Feasibility, Number of enrolled patients / patients approached, 1 year or until subject accrual is complete|Adherence to the Protocol, Dropout of enrolled patients, 30 days after procedure|Adverse Events, Adverse events (AEs) while inpatient and following discharge, Day of procedure to 30 days after procedure|Opioid Free Discharge, Whether subject is discharged with prescription for opioids or not, Within 24 hours of discharge from hospital","Postoperative Inpatient Opioid Utilization, Postoperative inpatient intravenous opioid utilization (morphine milliEquivalents / kg / day), 24-48 hours|Discharge Opioid Prescriptions, Opioid prescriptions written at time of discharge (morphine milliEquivalents / kg / day), At time of discharge, average of postoperative day 1|Nonopioid Discharge Medications, Nonopioid medications given for pain, At time of discharge, average of postoperative day 1|Length of Stay (Hours), Length of inpatient stay (hours), 24-48 hours|Clinic Calls, Quantitative number of telephone calls to clinic for pain / discomfort within 30 days via documentation in electronic medical record, 30 days|Refill Requests, Quantitative number of requests for refills of opioid prescriptions within 30 days via documentation in EMR, 30 days|Emergency Department Visits, Quantitative number of subject presentations to emergency department for pain within 30 days via documentation in EMR, 30 days",NA,30
NCT03437057,"Maintenance of an Antiaggregation by Acetylsalicylic Acid, While a Extracorporeal Lithotripsy Session on a Kidney Stone is Perfomed: Comparative Unicentric Prospective Study",RECRUITING,"Background/Rationale for the study:

Lithiasis pathology is increasingly common because of the change in our lifestyle and our food. Thus, we hold a prevalence for urinary lithiasis 10% in France currently including 13% of the male population and 6% of the female population.

The formation of urinary lithiasis is the result of a complex mechanism involving factors anatomical and infectious metabolics. They are classified according to their size, topography and composition.

The treatment of urinary lithiasis has changed dramatically in recent years. The recommendations of the French Urology Association (AFU) for the management of kidney stones and ureteral of the adult of 2004 give a certain place to the treatment by extracorporeal lithotripsy (ECL).

The ELC is indicated for the first purpose for lithiasis ureteral or renal lithiasis of less than 20 mm, whether or not associated with the setting up of a JJ stent. For kidney stones of more than 20 mm or complex or Coralliformes, the ECL can be associated with treatment with percutaneous nephrolithotomy. In addition, the ECL is indicated in case of residual cholelithiasis 3 months after a first treatment whatsoever.

It is found, as the main complication of the ECL, a risk of the appearance of Hematomas under capsular, peri-renal and intra-parenchymatous. Its prevalence is estimated to be between 6.2% and 13% according to studies.

ACETYLSALICYLIC ACID less or equal to 250 mg is the usual dosage of aspirin (for the adult), the Marketing Autorisation recognises in secondary prevention after a first myocardial or cerebral ischemic attack related to atherosclerosis. It entrains a reduction mortality and morbidity of cardiovascular causes.

Acetylsalicylic acid is currently being stopped 5 to 7 days before the ECL. The interest of maintaining the Acetylsalicylic acid is:

* A simplification of the management of patients under on acetylsalicylic acid below (or equal to) 250 mg (No modification of Treatment to be implemented)
* A cardiovascular risk decreased by maintaining their initial treatment without any modification.

Main objective:

Evaluation of the proportion of renal hematoma during the production of Lithotripsy for renal lithiasis, on a 15-day scan, in patients under on acetylsalicylic acid below (or equal to) 250 mg not stopped

Secondary objectives:

Evaluation of the efficacy of treatment with lithotripsy (Stone free, fragments Minimal residuals) Evaluation of the proportion of hematuria macroscopic post lithotripsy in Patients under on acethylsalicylic acid not stopped. Evaluate the rate of post-ECL complications requiring treatment, Analgesic, obstructive pyelonephritis.

Evaluate post-ECL pain due to hematoma or lithiasis migration Evaluation of the evolution of renal function post session of Lithotripsy on the patients under acethylsalicylic acid not stopped.

Type of Study: Interventional study, prospective, mono centric, single-arm",NO,Renal Lithiasis|Antiplatelet|Hematoma,OTHER: acetylsalicylic acid (below or equal to) 250 mg,"Evaluation of the proportion of renal hematoma during the production of Lithotripsy for renal lithiasis, Evaluation of the proportion of renal hematoma during the production of Lithotripsy for renal lithiasis, on a 15-day scan, in patients under acetylsalicylic acid (below or equal to 250mg) not stopped, at 15 days",,NA,300
NCT03584373,Pain Outcomes of Non-opioid vs. Opioid Analgesia for Kidney Stone Surgery.,COMPLETED,There are two options for postoperative pain management: opioid and non-opioid analgesia. Pain outcomes will be compared in patients undergoing ureteroscopy and percutaneous nephrolithotomy by randomly administering opioid and non-opioid analgesia.,YES,Nephrolithiasis,DRUG: Ketorolac Oral Tablet [Toradol]|DRUG: Acetaminophen|DRUG: Oxycodone Acetaminophen,"Satisfaction With Pain Relief, The patient will be administered a survey and asked to rate satisfaction with pain relief since the time of surgery and being on the assigned medication. Scoring will be on an 11-point ordinal numeric rating scale, with 0 being not satisfied with pain relief, and 10 being well-satisfied. Higher scores are indicative of greater satisfaction with pain relief, 1 week post surgery|Current Pain Intensity Level, The patient will be administered a survey and asked to rate their current pain intensity level (1 week post surgery) on an 11-point ordinal numeric rating scale ranging from 0-10, with 0 being no pain, and 10 being the worst possible pain. Higher scores are indicative of greater pain intensity., 1 week post surgery|Peak Pain Intensity Level, The patient will be administered a survey and asked to rate the worst/peak pain intensity level since undergoing the surgery. The patient will be asked to rate this worst pain intensity level on an 11-point ordinal numeric rating scale ranging from 0-10, with 0 being no pain, and 10 being the worst possible pain. Higher scoring is indicative of worst/peak pain intensity level since the time of surgery, 1 week post surgery|Average Pain Intensity Level, The patient will be administered a survey and asked to rate their average pain intensity level since undergoing surgery. The patient will be asked to rate this average pain intensity level on an 11-point ordinal numeric rating scale ranging from 0-10, with 0 being no pain, and 10 being the worst possible pain. Higher scores are indicative of higher average pain intensity., 1 week post surgery|Perception of an Acceptable Pain Intensity Level, The patient will be administered a survey and asked to rate what their perception or belief of an acceptable pain intensity level would be since undergoing the surgery. The patient will be asked to rate this acceptable pain intensity level on an 11-point ordinal numeric rating scale ranging from 0-10, with 0 equaling no pain, and 10 being the worst possible pain. Higher scores are indicative of the patient's belief of an acceptable pain intensity level., 1 week post surgery","Unused Medications - Proportion of Prescribed Pills Unused at 1 Week Post-Surgery, Unused medications is defined as the proportion of prescribed pills that were unused at 1 week post surgery as reported by the patient. More unused medications may indicate the potential to decrease the dosage needed., 1 week post surgery|Rates of Constipation, Percentage of patients who experienced constipation any time during the week after surgery. A lower percentage of constipation may indicate less incidence of adverse events., 1 week post surgery",PHASE3,119
NCT07047625,The Application of Health Education Path Nursing Program,COMPLETED,"Objective: To explore the effect of health education pathway on self-management ability and quality of life of patients after percutaneous nephrolithotomy. Method: Patients who underwent renal calculi in our hospital from January 1,2023 to August 31,2023 were collected by convenient sampling method. According to the order of enrollment, they were divided into control group and experimental group. Self-management indicators and quality of life indicators were collected for comparison.",NO,Nephrolithiasis,BEHAVIORAL: control group (Routine nursing)|BEHAVIORAL: Experimental group （Health education path）,"The self-management ability of the two groups of subjects, The self-management ability refers to the ' self-management ability survey scale for patients with urinary calculi ' in the study of Wang Hongdan et al. The Likert5 score method was used to evaluate the self-management ability of the two groups of patients before and three months after the intervention from the five dimensions of diet control, proper exercise, emotional management, medication compliance and regular follow-up. The total score was 5-25 points. The higher the score, the stronger the patient's self-management ability., three months|The quality of life of the two groups of subjects, SF-36 was used as a quality of life questionnaire. It comprehensively summarized the quality of life of respondents from eight aspects: physiological function, physiological function, physical pain, general health status, energy, social function, emotional function and mental health. The higher the score, the better the situation, Three months",,NA,60
NCT03332056,The Use of Belladonna and Opium Suppository in the Treatment of Postoperative Stent Pain,COMPLETED,The purpose of this study is to determine if preemptive B\&O suppository placement will decrease post-operative pain in patients undergoing ureteral stent placement.,YES,Nephrolithiasis,DRUG: Belladonna and Opium|OTHER: Placebo suppository,"Global Quality of Life Score on Postoperative Day 1, Global quality of life score as measured by the Ureteral Stent Symptom Questionnaire (USSQ).

Scale is 1-7 (Lower score indicating better quality of life compared to higher score). 1 = delighted, 2 = pleased, 3 = mostly satisfied, 4 = mixed feelings (about equally satisfied and dissatisfied), 5 = mostly dissatisfied, 6 = unhappy, 7 = terrible, postoperative day 1|Global Quality of Life Score on Postoperative 3, Global quality of life score as measured by the Ureteral Stent Symptom Questionnaire (USSQ).

Scale is 1-7 (Lower score indicating better quality of life compared to higher score). 1 = delighted, 2 = pleased, 3 = mostly satisfied, 4 = mixed feelings (about equally satisfied and dissatisfied), 5 = mostly dissatisfied, 6 = unhappy, 7 = terrible, postoperative day 3","Number of Participants With Postoperative Complications as a Result of the Use of B&O Suppository, To assess postoperative complications as a result of the use of B\&O suppository, including urinary retention., 14 days post-op|Number of Participants With Unanticipated Postoperative Visits, Number of postoperative unanticipated visits including nursing visits and ED visits, 14 days post-op|Measurement of Post-operative Narcotic Use, Measurement of postoperative opiate use using a questionnaire. We will define success as a reduction in postoperative narcotic use by 10% compared to placebo., 14 days post-op",PHASE4,71
